l,cl
916,8.086418306609576e-08
917,8.175114713378129e-08
918,8.025556197410291e-08
919,8.167507359720623e-08
920,8.307731469664951e-08
921,8.224685125258084e-08
922,8.06401132155595e-08
923,8.122235948207119e-08
924,7.990691006520087e-08
925,8.039686960539672e-08
926,7.908671558996924e-08
927,8.005307227692196e-08
928,8.194959424225568e-08
929,7.962204924599139e-08
930,8.091162115688882e-08
931,7.815982235003812e-08
932,8.017961851143906e-08
933,8.067745727639676e-08
934,7.922095418116937e-08
935,7.83414591771e-08
936,7.931047834682712e-08
937,7.89327490422763e-08
938,8.031927775006117e-08
939,7.824159835756669e-08
940,7.737182449084905e-08
941,7.903215497661082e-08
942,7.761340962086378e-08
943,7.914196088186172e-08
944,7.998658994681048e-08
945,7.86815646205515e-08
946,7.837877497405361e-08
947,7.803442005187644e-08
948,7.726041574532346e-08
949,7.712203150101693e-08
950,7.698324456082644e-08
951,7.625962136154111e-08
952,7.843343634975637e-08
953,7.773535298517724e-08
954,7.657288839549257e-08
955,7.683851242955463e-08
956,7.654635008690685e-08
957,7.785085506152154e-08
958,7.572477013413301e-08
959,7.667064175866137e-08
960,7.75928724009924e-08
961,7.749003510516255e-08
962,7.534213541527333e-08
963,7.51276559271491e-08
964,7.60314585866642e-08
965,7.699049262570591e-08
966,7.645500023408219e-08
967,7.618961675202397e-08
968,7.616478140431475e-08
969,7.552032166267121e-08
970,7.471093183466091e-08
971,7.64661613818123e-08
972,7.369773560086616e-08
973,7.68233503623788e-08
974,7.569098445114012e-08
975,7.531398716623592e-08
976,7.586764985452309e-08
977,7.491752538233996e-08
978,7.397910499761113e-08
979,7.382065589604352e-08
980,7.5279662744969e-08
981,7.492111924038637e-08
982,7.540221499192759e-08
983,7.416213393767429e-08
984,7.527704473618987e-08
985,7.44635929218295e-08
986,7.41910827553095e-08
987,7.371381136690866e-08
988,7.424536853852261e-08
989,7.387250260293393e-08
990,7.336226304797562e-08
991,7.221460438732902e-08
992,7.358428623836321e-08
993,7.424911178179018e-08
994,7.376814394539882e-08
995,7.276562487276008e-08
996,7.22666685040611e-08
997,7.327381783348963e-08
998,7.253205866141966e-08
999,7.27701783838988e-08
1000,7.386332970359311e-08
1001,7.231843267257679e-08
1002,7.279318907231439e-08
1003,7.185349917654986e-08
1004,7.249728170929882e-08
1005,7.288294911458104e-08
1006,7.237328766785033e-08
1007,7.074942066862807e-08
1008,7.235929014255752e-08
1009,6.993318510287635e-08
1010,7.082274245234875e-08
1011,7.105945566096632e-08
1012,7.105782629917585e-08
1013,7.198435945189865e-08
1014,7.069088866162052e-08
1015,7.062399836507637e-08
1016,7.126066004521126e-08
1017,6.980242351286802e-08
1018,7.124972262897945e-08
1019,6.995782918939311e-08
1020,7.037596189795487e-08
1021,7.030893928155127e-08
1022,7.090569684934816e-08
1023,6.893677806143407e-08
1024,7.091993867065042e-08
1025,7.054067412592294e-08
1026,6.956806317635662e-08
1027,6.993677429457524e-08
1028,6.95997414696293e-08
1029,7.028430039448839e-08
1030,6.918016456141681e-08
1031,6.855929908888746e-08
1032,6.892087353302011e-08
1033,6.948362924201111e-08
1034,6.916511434216072e-08
1035,6.950144729891277e-08
1036,6.856738454679764e-08
1037,6.825750465221088e-08
1038,6.825630958495865e-08
1039,6.853947247830719e-08
